Q_ENT;Q_NOMENT;Q_GRUPO;Q_NOMGRUPO;Q_PARTIDA;Q_NOMPARTIDA;Q_FTE;Q_ASIG;Q_VIG;Q_COMP;Q_ORD;Q_PAG;Q_SAL;Q_VAR
 0001;PODER LEGISLATIVO;1;GASTOS DE PERSONAL;111;RETRIBUCION DEL CARGO;10;1657243983;2113753370;1259145865;1259145865;1259145865;854607504,6;59,56919494
 0001;PODER LEGISLATIVO;1;GASTOS DE PERSONAL;113;ADICIONALES;10;1669340820;1763595455;2294323844;2294323844;2257010631;-530728389,5;130,0935449
 0001;PODER LEGISLATIVO;1;GASTOS DE PERSONAL;114;SUELDO ANUAL COMPLEMENTARIO Y OTROS BENEFICIOS;10;164034485;165593235;343325920,5;343325920,5;339739028,4;-177732685,5;207,3308855
 0001;PODER LEGISLATIVO;1;GASTOS DE PERSONAL;115;CONTRIBUCIONES PATRONALES PARA JUBILACION;10;376060569;460560125,3;615376346,6;615376346,6;615376346,6;-154816221,2;133,6147688
 0001;PODER LEGISLATIVO;1;GASTOS DE PERSONAL;116;APORTE PATRONAL PARA OBRA SOCIAL;10;146732762;182510328;230119734,1;230119734,1;230119734,1;-47609406,14;126,0858696
 0001;PODER LEGISLATIVO;1;GASTOS DE PERSONAL;117;COMPLEMENTOS;10;63907056;63892209;25867360,97;25867360,97;25867360,97;38024848,03;40,48593933
 0001;PODER LEGISLATIVO;1;GASTOS DE PERSONAL;118;OTRAS CONTRIBUCIONES PATRONALES;10;23400492;23527245;28764965,24;28764965,24;28764965,24;-5237720,24;122,2623611
 0001;PODER LEGISLATIVO;1;GASTOS DE PERSONAL;121;RETRIBUCION DEL CARGO;10;279074250;279074250;279516932,1;279516932,1;279516932,1;-442682,05;100,1586252
 0001;PODER LEGISLATIVO;1;GASTOS DE PERSONAL;122;ADICIONALES;10;261261000;261261000;311197739,5;311197739,5;311197739,5;-49936739,47;119,1137366
 0001;PODER LEGISLATIVO;1;GASTOS DE PERSONAL;123;SUELDO ANUAL COMPLEMENTARIO Y OTROS BENEFICIOS;10;49481250;49481250;57068735,49;57068735,49;57068735,49;-7587485,49;115,3340619
 0001;PODER LEGISLATIVO;1;GASTOS DE PERSONAL;124;CONTRIBUCIONES PATRONALES PARA JUBILACION;10;138547500;138547500;101878186,2;101878186,2;101878186,2;36669313,84;73,53303824
 0001;PODER LEGISLATIVO;1;GASTOS DE PERSONAL;125;APORTE PATRONAL PARA OBRA SOCIAL;10;55419000;55419000;38204321,02;38204321,02;38204321,02;17214678,98;68,93722554
